Make,Model,Mileage,Engine_Size,Fuel_Type,Transmission,Age,Price
Bmw,X4,112007,2000,Petrol,Automatic,8,4450000
Bmw,X5,79000,3000,Petrol,Automatic,8,7010000
Bmw,X5,59000,2500,Petrol,Automatic,8,6915000
Bmw,X5,69000,2995,Petrol,Automatic,8,6515000
Bmw,X5,63000,3000,Petrol,Automatic,8,6415000
Bmw,X5,102000,3000,Petrol,Automatic,9,5815000
Bmw,X5,106000,3000,Petrol,Automatic,13,2715000
Bmw,X5,152816,3000,Petrol,Automatic,15,2000000
Bmw,X5,124093,3000,Petrol,Automatic,16,1600000
Bmw,X5,120965,3000,Petrol,Automatic,20,1000000
Bmw,X5,100000,2500,Petrol,Automatic,19,950000
Bmw,X6,133000,4400,Petrol,Automatic,8,10515000
Bmw,X6,95000,3000,Petrol,Automatic,8,7515000
Daihatsu,Boon,72000,1000,Petrol,Automatic,8,1045000
Daihatsu,Boon,146483,1000,Petrol,Automatic,10,650000
Daihatsu,Boon,165000,1300,Petrol,Automatic,12,595000
Daihatsu,Boon,159000,1500,Petrol,Automatic,15,565000
Daihatsu,Cast Activa,145000,660,Petrol,Automatic,8,1000000
Daihatsu,Cast Activa,110000,658,Petrol,Automatic,8,965000
Daihatsu,Hijet,160000,650,Petrol,Automatic,9,965000
Daihatsu,Hijet,170000,650,Petrol,Automatic,8,880000
Daihatsu,Hijet,325045,700,Petrol,Automatic,11,500000
Daihatsu,Hijet,285061,700,Petrol,Automatic,10,420000
Daihatsu,Mira,61346,658,Petrol,Automatic,8,980000
Daihatsu,Mira,64000,650,Petrol,Automatic,8,970000
Daihatsu,Mira,127000,658,Petrol,Automatic,8,850000
Daihatsu,Mira,171000,650,Petrol,Automatic,9,850000
Daihatsu,Mira,112000,650,Petrol,Automatic,8,850000
Daihatsu,Mira,112000,650,Petrol,Automatic,8,845000
Daihatsu,Mira,90000,650,Petrol,Automatic,8,835000
Daihatsu,Mira,51000,650,Petrol,Automatic,8,835000
Daihatsu,Mira,231000,1000,Petrol,Automatic,8,830000
Daihatsu,Mira,67000,658,Petrol,Automatic,8,830000
Daihatsu,Mira,78000,658,Petrol,Automatic,8,800000
Daihatsu,Mira,78000,650,Petrol,Automatic,8,795000
Daihatsu,Mira,71000,650,Petrol,Automatic,8,795000
Daihatsu,Mira,103650,650,Petrol,Automatic,8,790000
Daihatsu,Mira,76650,650,Petrol,Automatic,8,790000
Daihatsu,Mira,170000,650,Petrol,Automatic,8,780000
Daihatsu,Mira,157000,658,Petrol,Automatic,8,765000
Daihatsu,Mira,107000,658,Petrol,Automatic,8,765000
Daihatsu,Mira,93000,658,Petrol,Automatic,8,765000
Daihatsu,Mira,75000,658,Petrol,Automatic,8,765000
Daihatsu,Mira,62000,658,Petrol,Automatic,8,765000
Daihatsu,Mira,96000,650,Petrol,Automatic,8,765000
Daihatsu,Mira,52000,650,Petrol,Automatic,8,765000
Daihatsu,Mira,19000,650,Petrol,Automatic,8,765000
Daihatsu,Mira,63000,650,Petrol,Automatic,8,715000
Daihatsu,Mira,77000,700,Petrol,Automatic,9,710000
Daihatsu,Mira,215840,700,Petrol,Automatic,10,500000
Daihatsu,Mira,121000,660,Petrol,Automatic,9,427500
Daihatsu,Mira,228000,1000,Petrol,Automatic,11,415000
Daihatsu,Mira,308533,700,Petrol,Automatic,12,370000
Daihatsu,Mira,298142,700,Petrol,Automatic,12,325000
Daihatsu,Move,99000,650,Petrol,Automatic,8,950000
Daihatsu,Move,56000,700,Petrol,Automatic,8,905000
Daihatsu,Move,103000,660,Petrol,Automatic,8,895000
Daihatsu,Move,120000,658,Petrol,Automatic,8,895000
Daihatsu,Move,59000,658,Petrol,Automatic,8,865000
Daihatsu,Move,26000,650,Petrol,Automatic,8,815000
Daihatsu,Move,210000,658,Petrol,Automatic,9,700000
Faw,CA4256,0,9726,Diesel,Manual,1,7087000
Ford,Escape,108752,2260,Petrol,Automatic,12,950000
Ford,Everest,56000,3200,Diesel,Automatic,7,6615000
Ford,Everest,65000,3200,Diesel,Automatic,8,6500000
Ford,Everest,125000,2200,Diesel,Automatic,8,4300000
Ford,Ranger,208000,2000,Diesel,Automatic,1,11750000
Ford,Ranger,29000,2000,Diesel,Automatic,5,9400000
Ford,Ranger,18000,2800,Diesel,Automatic,5,7615000
Ford,Ranger,24000,2000,Diesel,Automatic,3,7015000
Ford,Ranger,41000,3000,Diesel,Automatic,8,6100000
Ford,Ranger,58000,2800,Diesel,Automatic,8,6100000
Ford,Ranger,64000,3200,Diesel,Automatic,8,5315000
Ford,Ranger,85000,3200,Diesel,Automatic,8,5215000
Ford,Ranger,64000,3200,Diesel,Automatic,8,5200000
Ford,Ranger,78000,3800,Diesel,Automatic,10,4600000
Ford,Ranger,75990,3200,Diesel,Automatic,10,4150000
Ford,Ranger,21000,3000,Diesel,Automatic,9,3765000
Ford,Ranger,83000,2200,Diesel,Automatic,8,2200000
Ford,Ranger,160256,2500,Diesel,Manual,13,1800000
Honda,CR-V,125000,1800,Petrol,Automatic,9,3800000
Honda,CR-V,69000,2000,Petrol,Automatic,8,3715000
Honda,CR-V,72000,2000,Petrol,Automatic,8,3710000
Honda,CR-V,49000,2000,Petrol,Automatic,5,3185180
Honda,CR-V,145000,2000,Petrol,Automatic,13,2615000
Honda,CR-V,177000,2000,Petrol,Automatic,12,2515000
Honda,CR-V,128000,1800,Petrol,Automatic,11,2400000
Honda,CR-V,163000,2000,Petrol,Automatic,16,1605000
Honda,CR-V,132000,2400,Petrol,Automatic,14,1415000
Honda,CR-V,197490,2400,Petrol,Automatic,14,1300000
Honda,CR-V,265444,2400,Petrol,Automatic,19,1100000
Honda,CR-V,156000,2400,Petrol,Automatic,15,885000
Honda,CR-V,212000,2000,Petrol,Automatic,20,750000
Honda,CR-V,30000,2000,Petrol,Automatic,22,665000
Honda,CR-V,259000,1970,Petrol,Manual,25,418000
Honda,Fit,79000,1500,Petrol,Automatic,8,1740000
Honda,Fit,107802,1300,Petrol,Automatic,8,1730000
Honda,Fit,122000,1500,Petrol,Automatic,8,1715000
Honda,Fit,102000,1500,Petrol,Automatic,8,1715000
Honda,Fit,69000,1500,Petrol,Automatic,8,1715000
Honda,Fit,111000,1500,Petrol,Automatic,8,1715000
Honda,Fit,79000,1300,Petrol,Automatic,8,1715000
Honda,Fit,104000,1500,Petrol,Automatic,8,1700000
Honda,Fit,181000,1500,Petrol,Automatic,8,1695000
Honda,Fit,96000,1500,Petrol,Automatic,8,1665000
Honda,Fit,71000,1500,Petrol,Automatic,8,1665000
Honda,Fit,158000,1500,Petrol,Automatic,8,1650000
Honda,Fit,123000,1400,Petrol,Automatic,8,1650000
Honda,Fit,138000,1500,Petrol,Automatic,8,1615000
Honda,Fit,237000,1500,Petrol,Automatic,8,1565000
Honda,Fit,73884,1300,Petrol,Automatic,9,1550000
Honda,Fit,169000,1500,Petrol,Automatic,8,1545000
Honda,Fit,86000,1500,Petrol,Automatic,8,1545000
Honda,Fit,30000,1500,Petrol,Automatic,8,1510000
Honda,Fit,25000,1300,Petrol,Automatic,8,1500000
Honda,Fit,101000,1300,Petrol,Automatic,8,1480000
Honda,Fit,187000,1500,Petrol,Automatic,8,1465000
Honda,Fit,121000,1500,Petrol,Automatic,8,1465000
Honda,Fit,110000,1500,Petrol,Automatic,8,1465000
Honda,Fit,105000,1500,Petrol,Automatic,8,1465000
Honda,Fit,95000,1500,Petrol,Automatic,8,1465000
Honda,Fit,76000,1500,Petrol,Automatic,8,1465000
Honda,Fit,104000,1500,Petrol,Automatic,7,1465000
Honda,Fit,135000,1300,Petrol,Automatic,8,1465000
Honda,Fit,75000,1300,Petrol,Automatic,8,1450000
Honda,Fit,67000,1500,Petrol,Automatic,8,1415000
Honda,Fit,200000,1300,Petrol,Automatic,9,1415000
Honda,Fit,92000,1300,Petrol,Automatic,8,1415000
Honda,Fit,76000,1300,Petrol,Automatic,8,1415000
Honda,Fit,53000,1500,Petrol,Automatic,8,1400000
Honda,Fit,79000,1300,Petrol,Automatic,9,1400000
Honda,Fit,139000,1240,Petrol,Automatic,8,1380000
Honda,Fit,66000,1500,Petrol,Automatic,8,1365000
Honda,Fit,87000,1500,Petrol,Automatic,8,1365000
Honda,Fit,127000,1500,Petrol,Automatic,8,1365000
Honda,Fit,139000,1300,Petrol,Automatic,8,1365000
Honda,Fit,106000,1300,Petrol,Automatic,8,1365000
Honda,Fit,88000,1300,Petrol,Automatic,8,1365000
Honda,Fit,87000,1300,Petrol,Automatic,8,1365000
Honda,Fit,73000,1300,Petrol,Automatic,8,1365000
Honda,Fit,98000,1500,Petrol,Automatic,8,1350000
Honda,Fit,106000,1310,Petrol,Automatic,8,1350000
Honda,Fit,87000,1300,Petrol,Automatic,8,1350000
Honda,Fit,75000,1300,Petrol,Automatic,8,1350000
Honda,Fit,35000,1300,Petrol,Automatic,8,1350000
Honda,Fit,79000,1300,Petrol,Automatic,8,1350000
Honda,Fit,96000,1300,Petrol,Automatic,8,1350000
Honda,Fit,87000,1300,Petrol,Automatic,8,1315000
Honda,Fit,88000,1300,Petrol,Automatic,8,1300000
Honda,Fit,128000,1300,Petrol,Automatic,8,1180000
Honda,Fit,131000,1490,Petrol,Automatic,14,980000
Honda,Fit,103000,1300,Petrol,Automatic,10,920000
Honda,Fit,140000,1500,Petrol,Automatic,11,895000
Honda,Fit,352625,1500,Petrol,Automatic,12,750000
Honda,Fit,75309,1300,Petrol,Automatic,11,750000
Honda,Fit,149821,1339,Petrol,Automatic,13,730000
Honda,Fit,220651,1330,Petrol,Automatic,12,690000
Honda,Fit,214044,1330,Petrol,Automatic,14,660000
Honda,Fit,151000,1497,Petrol,Automatic,14,650000
Honda,Fit,186746,1390,Petrol,Automatic,13,630000
Honda,Fit,161700,1300,Petrol,Automatic,13,620000
Honda,Fit,157000,1300,Petrol,Automatic,12,615000
Honda,Fit,147104,1300,Petrol,Automatic,14,600000
Honda,Fit,168690,1300,Petrol,Automatic,13,600000
Honda,Fit,191000,1300,Petrol,Automatic,12,595000
Honda,Fit,252312,1300,Petrol,Automatic,13,590000
Honda,Fit,132308,1300,Petrol,Automatic,14,570000
Honda,Fit,188000,1300,Petrol,Automatic,12,570000
Honda,Fit,208000,1300,Petrol,Automatic,11,565000
